[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1652344573.390000 5/12/2022, 5:36:13 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: PtFe_MH20211209.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1652353454.171,,4.400000e+003,9.995720e+000,5.217768e-002,5.526505e-006,3,9.927965e-001,1.059171e-002,,,,,,,,,,,,,,32,2,4.000000e+000,8.195877e-003,0.000000e+000,0,1,0,
1652353576.343,,4.600000e+003,9.997341e+000,5.453640e-002,2.676325e-006,3,9.928137e-001,4.907410e-003,,,,,,,,,,,,,,32,2,4.000000e+000,7.169724e-003,0.000000e+000,0,0,0,
1652353696.218,,4.800000e+003,9.995548e+000,5.688317e-002,5.083964e-006,3,9.927616e-001,8.937553e-003,,,,,,,,,,,,,,32,2,4.000000e+000,6.145477e-003,0.000000e+000,0,0,0,
1652353814.515,,5.000000e+003,9.996145e+000,5.923454e-002,3.271649e-006,3,9.927633e-001,5.523212e-003,,,,,,,,,,,,,,32,2,4.000000e+000,7.169724e-003,0.000000e+000,0,0,0,
1652353940.859,,6.000000e+003,9.996402e+000,7.097196e-002,6.848863e-007,3,9.927307e-001,9.650097e-004,,,,,,,,,,,,,,32,2,4.000000e+000,5.466461e-003,0.000000e+000,0,0,0,
1652354066.937,,6.500000e+003,9.997858e+000,7.678814e-002,6.037536e-006,3,9.926926e-001,7.862589e-003,,,,,,,,,,,,,,32,2,4.000000e+000,8.561134e-003,0.000000e+000,0,1,0,
1652354191.781,,7.000000e+003,9.997343e+000,8.259352e-002,8.924595e-006,3,9.926758e-001,1.080544e-002,,,,,,,,,,,,,,32,2,4.000000e+000,8.543968e-003,0.000000e+000,0,1,0,
1652354317.937,,7.500000e+003,9.996316e+000,8.834768e-002,8.555810e-006,3,9.926594e-001,9.684250e-003,,,,,,,,,,,,,,32,2,4.000000e+000,8.537292e-003,0.000000e+000,0,1,0,
1652354500.968,,8.000000e+003,9.992306e+000,9.406196e-002,9.799143e-007,3,9.933473e-001,1.041775e-003,,,,,,,,,,,,,,32,2,4.000000e+000,8.874893e-003,0.000000e+000,0,0,0,
1652354627.703,,8.500000e+003,9.996747e+000,9.978769e-002,2.191636e-006,3,9.926976e-001,2.196299e-003,,,,,,,,,,,,,,32,2,4.000000e+000,9.919167e-003,0.000000e+000,0,0,0,
